Innovation,Semi-Arid Rural area - Ethiopia,Tropical Coastal area - Mozambique,Urban setting - Bangladesh
34 biodegradable/compostable packaging,4.0,6.0,5.0
13 multi-target crop breeding for climate resilience & enhanced nutrition,9.0,5.0,1.0
"75 disincentivize ultra-processed food and sugar addition - trade policies, taxes and marketing",3.0,4.0,7.0
68 nutrient-rich school meals,6.0,3.0,4.0
17 promotion of native and orphan crops,5.0,4.0,4.0
46 solar powered cold chain,5.0,5.0,3.0
53 integrated digital platform for women empowerment and financial inclusion in the food system,6.0,4.0,2.0
66 integrated school education programs,5.0,3.0,3.0
2 agroforestry for fruit production and soil health,5.0,2.0,4.0
27 local high-nutrient food products,6.0,3.0,1.0
18 solar powered irrigation pumps,7.0,3.0,0.0
47 urban-rural linkages and food logistics,5.0,1.0,4.0
55 open source decision support tools for agricultural data,4.0,3.0,2.0
3 biodiversity common approach,2.0,5.0,2.0
32 solar processing for food preservation,4.0,4.0,1.0
33 upcycling food waste,3.0,2.0,3.0
81 production incentive platform - crop diversification for climate resilience and enhanced nutrition targets,3.0,3.0,2.0
15 novel animal feed,3.0,2.0,3.0
61 agro-ecotourism,4.0,1.0,2.0
73 community food system committees,3.0,0.0,4.0
56 satellite tracking of foreign fishing vessels in local communities' waters,2.0,2.0,3.0
10 integrated household poultry production,7.0,0.0,0.0
45 secondary markets for food waste,3.0,1.0,3.0
35 blockchain food system traceability,2.0,3.0,2.0
8 integrated aquaculture,4.0,0.0,2.0
30 precision fortification during milling,4.0,2.0,0.0
58 sensors for food safety assessment,3.0,1.0,2.0
82 regenerative agriculture certification,4.0,0.0,2.0
6 human waste recovery to utilize as fertilizer,3.0,2.0,1.0
72 bundled crop insurance products,1.0,3.0,2.0
83 secure land tenure,3.0,1.0,2.0
70 urban youth engagement platform,2.0,0.0,4.0
7 hydroponics,2.0,2.0,1.0
62 developing interdisciplinary nutrition education programs,2.0,1.0,2.0
63 dynamic integrated demonstration farms (non-digital education),3.0,1.0,1.0
51 drone-based locust killer,1.0,1.0,3.0
77 expanded productive safety net,4.0,1.0,0.0
48 agtech incubator,2.0,2.0,1.0
69 root-to-stem youth cooking classes,2.0,3.0,0.0
9 integrated aquaponics,3.0,0.0,2.0
79 integrated farmers federation support,1.0,4.0,0.0
28 mushroom mycelia for protein,1.0,2.0,2.0
85 street food innovations,2.0,1.0,2.0
14 mushroom diversification,3.0,2.0,0.0
21 anti-bacterial leds,2.0,2.0,1.0
24 high pressure processing,1.0,2.0,2.0
36 cereal banks,3.0,1.0,1.0
84 sharing economy,1.0,3.0,0.0
67 mother empowerment by distributing straightforward planetary health guidelines,0.0,2.0,2.0
22 cultured meat,0.0,1.0,3.0
"78 improved labeling & standards - ingredients, nutrition value, source, target audience",2.0,2.0,0.0
43 predictive supply chain analytics,2.0,1.0,1.0
31 red rice milling optimisation using solar,2.0,0.0,2.0
57 seawater greenhouses,1.0,2.0,1.0
80 national food plan,3.0,1.0,0.0
76 e-agri-ppp,3.0,1.0,0.0
4 duckweed,2.0,1.0,1.0
52 integrated digital platform for livestock management,1.0,2.0,1.0
71 women family planning training,3.0,1.0,0.0
41 healthy & local supermarket model,2.0,1.0,1.0
26 insect protein sources,0.0,2.0,2.0
60 water desalination,2.0,0.0,1.0
25 high-nutrition seaweed supplement,0.0,0.0,3.0
20 aflatoxin resistant varieties of peanuts,1.0,2.0,0.0
16 perennial farming,1.0,0.0,2.0
5 high-intensity coastal aquaculture,0.0,2.0,1.0
49 digital infantile diet tracking,1.0,1.0,0.0
65 farm to fork digital knowledge hub,1.0,0.0,1.0
64 environmentally-friendly cheap soap for poor rural communities,1.0,1.0,0.0
54 high tech greenhouses,1.0,0.0,1.0
50 drone delivery of seed and inputs,1.0,1.0,0.0
39 gender-sensitive online retail of nutritious foods,1.0,0.0,1.0
37 edible films and coatings,1.0,0.0,1.0
29 precision fermentation,1.0,0.0,1.0
19 3d printed plant-based meat,0.0,0.0,2.0
11 intensive household gardening approach,1.0,0.0,1.0
74 decision-support tool for policy makers to address seasonality in food and nutrition security under current and future climates,0.0,0.0,1.0
59 waste water treatment through forward osmosis,1.0,0.0,0.0
42 high-load drone delivery,1.0,0.0,0.0
40 ghost kitchens,0.0,0.0,1.0
38 fresh produce vending machines,1.0,0.0,0.0
12 microbial harvesting and soil supplementation,0.0,1.0,0.0
1 aeroponics,0.0,0.0,1.0
